id_station_itinerance,id_pdc_itinerance,puissance_nominale
FRPD1PSPUREZ,FRPD1ESPUREZDLT013,50.0
FRQWTP24172000001,FRQWTE4412957,22.0
FRSRGP90119560,FRSRGE12346052362,3.68
FRHPCPNF080232,FRHPCENF08023200,175.0
FRPD1PGRACHA,FRPD1EGRACHAUFC200023,100.0
FRELCP12953977,FRELCEHDUQ,150.0
FRIOYP13530896,FRIOYE454113,350.0
FRIOYP13530868,FRIOYE432409,350.0
FRPD1PSYSCOL,FRPD1ESYSCOLKP0021,50.0
FRESEPS42218AC,FRESEE42218AC11,22.0
FRVIAP101104,FRVIAE10001205382,22.0
FRVIAP101104,FRVIAE10001180721,300.0
FRVIAP161005,FRVIAE20161005032,400.0
FRTSLP3319,FRTSLEA4U7MG,150.0
FRETIP44143A,FRETIE44143A11,180.0
FRPD1PSPASAZ,FRPD1ESPASAZEFAQ45011,50.0
FRPD1PCRIORT,FRPD1ECRIORTBB200014,200.0
FRTSLP26558,FRTSLE0EB5TL,250.0
FRPD1PINVCES,FRPD1EINVCESKPC200011,200.0
FRPD1PCHAAUG,FRPD1ECHAAUGBBC0013,200.0
FRPD1PACTCHO,FRPD1EACTCHOALF011,22.0
FRPD1PITMDST,FRPD1EITMDSTKPC200014,160.0
FRVIAP122239,FRVIAE20122239091,22.0
FRVIAP151001,FRVIAE10000988242,210.0
FRVIAP122239,FRVIAE20122239062,22.0
FRVIAP151001,FRVIAE10000815403,22.0
FRVIAP151001,FRVIAE10000988241,210.0
FRVIAP122239,FRVIAE20122239031,300.0
FRVIAP122013,FRVIAE12346029901,300.0
FRVIAP122013,FRVIAE12346029902,300.0
FRVIAP122013,FRVIAE12346029921,300.0
FRVIAP122013,FRVIAE12346100411,22.0
FRVIAP151001,FRVIAE10000988221,210.0
FRVIAP122239,FRVIAE20122239042,300.0
FRVIAP122239,FRVIAE20122239082,22.0
FRVIAP122013,FRVIAE12346029912,300.0
FRVIAP122013,FRVIAE12346029911,300.0
FRBPEP3EA016,FRBPEE3EA0163244,32.0
FRETIP47157B,FRETIE47157B14,180.0
FRGYMP735572,FRGYMEC12404023,22.0
FRETIP47157B,FRETIE47157B15,22.0
FRLDLPLFR4105EVCP,FRLDLE00007504,120.0
FRLDLPLFR4105EVCP,FRLDLE00007505,120.0
FRSE1PSE25ZABA,FRSE1ESE25ZABACP1,24.0
FRALLPGO800782,FRALLEGO8007821,200.0
FRSE1PSE33MAEA,FRSE1ESE33MAEACP1,24.0
FRPD1PSOMTLS,FRPD1ESOMTLSBBC200011,200.0
FRIOYP13530799,FRIOYE454212,350.0
FRPD1PNETLRD,FRPD1ENETLRDEKO120012,22.0
FRPD1PITMPLG01,FRPD1EITMPLGALF22011,22.0
FRPD1PLBCLAO,FRPD1ELBCLAOBBC0013,100.0
