,Created At,Updated At,ID,Adresse Station,Code Insee Commune,CoordonneesXY,region,dept,com
38,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",bcae1eea-0f5f-41f9-855b-a86c08325277,Parking Pré Ponce 74140 Yvoire,,0101000020E6100000E94317D4B74C1940D7C05609162F4740,27,71,71244
39,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",ee646484-c292-43b5-8d25-7b25499c24b1,287 Avenue Bel Air 06270 Villeneuve Loubet,,0101000020E6100000C4279D4830851C40EF02250516D24540,76,09,09299
40,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",228b4182-7325-4ab9-b239-633c93a38d30,1 L'Océane 28160 Dampierre-Sous-Brou,,0101000020E6100000DA1B7C613255F13F5B25581CCE1E4840,76,31,31269
41,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",4c81140e-7cae-4629-bdf7-ca96acdba987,540 Avenue de la 2è Division Blindée 30133 Les Angles,,0101000020E6100000CF2EDFFAB00E1340D1ADD7F4A0FA4540,32,60,60210
42,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",2a541d1a-85e1-4440-988d-41433a552d7e,1 Rue Auguste Blanchi 06380 Sospel,,0101000020E61000006494675E0ECB1D40BB4560AC6FF04540,11,95,95119
43,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",a26315ac-22a5-42fd-8d6c-2b995fe8ad4d,45 Avenue de la 2è Division Blindée 30133 Les Angles,,0101000020E610000017B7D100DE1213409B559FABADFA4540,93,13,13206
44,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",6968fd38-e474-4938-9202-ee5d5ba2ee6e,155 Avenue du Languedoc 30150 Sauveterre,,0101000020E6100000D33252EFA92C13406806F1811D034640,75,40,40242
45,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",e5219c77-2db9-49db-9336-891de8372404,"Avenue Charles de Gaulle, 30133 Les Angles 30133 Les Angles",,0101000020E6100000F0DDE68D93021340782634492CFB4540,24,18,18290
46,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",231e637f-b5b7-4ec2-a53a-0fd8395a4410,1 L'Océane 49480 Saint-Sylvain-d'Anjou,,0101000020E61000007217618A7269DFBF8597E0D407C04740,32,60,60338
47,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",ad8bdd5c-bcfa-45d2-ba2c-8d124e104584,1 Le Mont de Billy 51400 Les Petites-Loges,,0101000020E6100000524832AB77F8104015AB06616E8F4840,02,972,97209
48,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",e44b5e14-1d4e-42da-bb1e-2054c72093dc,Place Jean Mermoz 83120 Sainte-Maxime,,0101000020E6100000C1C93670078A1A40A0E1CD1ABCA74540,28,76,76360
49,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",3e14d664-7afa-40b9-ab8d-df85a5760158,1560 Route du littoral 83310 Grimaud,,0101000020E6100000849F38807E4F1A406364C91CCBA34540,93,84,84085
50,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",ea409a20-5e7d-469a-a03d-8895d1fd3521,1 Rue Saint Pierre 83240 Cavalaire-sur-Mer,,0101000020E6100000F46F97FDBA231A40E6B0FB8EE1954540,44,51,51609
51,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",f4c28c7b-4ca6-4ab6-a837-0f47efab9ae1,1 Boulevard Patch 83350 Ramatuelle,,0101000020E61000005E4C33DDEBA41A402CD49AE61D9D4540,76,32,32197
52,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",aee207a9-35cc-4755-add6-2655655e3ffe,1 Place Léon Martel 83580 Gassin,,0101000020E6100000425E0F26C5571A40C2A1B778789D4540,75,17,17164
53,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",378d6392-15dd-444f-b1a4-8b16d7a3f109,1 Avenue de la mer 83310 Grimaud,,0101000020E6100000C8EA56CF494F1A40AE9B525E2BA34540,76,31,31392
