Location name,evse_id,spot_connector_id,tariff_id,src_id
Shell SAINT MICHEL DE RIEUFRET,FR*SHE*E91*3,66948732,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Honegger - Le Havre,FR*SHE*E328*2,67488089,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Chillou - Le Havre,FR*SHE*E299*1,62438476,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Bordeaux-Cestas Ouest A63,FR*SHE*E87*1,66988176,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de la sainte Victoire HW,FR*SHE*E76*2,55631722,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Clemenceau,FR*SHE*E326*1,126201963,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Parvis - Le Havre,FR*SHE*E312*3,65811408,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Chillou - Le Havre,FR*SHE*E301*3,62438482,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Clemenceau,FR*SHE*E322*2,126201947,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell- France Aire de Sommesous HW,FR*SHE*E385*2,68534819,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de la sainte Victoire HW,FR*SHE*E75*1,55631718,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Gonfreville L'O - Le Havre,FR*SHE*E405*1,68558834,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Bordeaux-Cestas Est A63,FR*SHE*E84*1,110747441,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Roussillon,FR*SHE*E179*3,67010089,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Ostwald HW,FR*SHE*E212*2,60772741,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell- France Aire de Sommesous HW,FR*SHE*E45*2,68534815,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Roussillon,FR*SHE*E178*2,67010085,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Roussillon,FR*SHE*E180*2,67010091,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Criquetôt - Le Havre,FR*SHE*E182*2,59428855,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell- France Aire de Sommesous HW,FR*SHE*E43*1,69342538,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell SAINT MICHEL DE RIEUFRET,FR*SHE*E91*4,66948733,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Béziers-Montblanc NORD,FR*SHE*E210*2,67229944,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Parvis - Le Havre,FR*SHE*E313*3,65811411,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
